time,velo,accel,current,power
0.011,0.0,0.0,0.0,0.0
0.022,0.0,0.0,0.0,0.0
0.031,0.0,0.0,0.0,0.0
0.038,0.0,0.0,0.0,0.0
0.046,0.0,0.0,0.0,0.0
0.053,0.0,0.0,0.003,0.0
0.064,0.0,0.0,0.0,0.0
0.073,0.0,0.0,0.0,0.0
0.082,0.0,0.0,0.0,0.0
0.09,0.0,0.0,0.0,0.0
0.097,0.0,0.0,0.0,0.0
0.104,0.0,0.0,0.0,0.0
0.111,0.0,0.0,0.0,0.0
0.118,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0
0.132,0.0,0.0,0.0,0.0
0.139,0.0,0.0,0.0,0.0
0.147,0.0,0.0,0.0,0.0
0.155,0.0,0.0,0.0,0.0
0.162,0.0,0.0,0.0,0.0
0.168,0.0,0.0,0.0,0.0
0.175,0.0,0.0,0.003,0.0
0.181,0.0,0.0,0.003,0.0
0.188,0.0,0.0,0.0,0.0
0.194,0.0,0.0,0.0,0.0
0.201,0.0,0.0,0.0,0.0
0.207,0.0,0.0,0.0,0.0
0.213,0.0,0.0,0.0,0.0
0.219,0.0,0.0,0.0,0.0
0.226,0.0,0.0,0.0,0.0
0.235,0.0,0.0,0.0,0.0
0.242,0.0,0.0,0.0,0.0
0.249,0.0,0.0,0.0,0.0
0.255,0.0,0.0,0.0,0.0
0.261,0.0,0.0,0.0,0.0
0.267,0.0,0.0,0.0,0.0
0.276,0.0,0.0,0.0,0.0
0.283,0.0,0.0,0.0,0.0
0.289,0.0,0.0,0.0,0.0
0.295,0.0,0.0,0.003,0.0
0.301,0.0,0.0,0.003,0.0
0.307,0.0,0.0,0.0,0.0
0.314,0.0,0.0,0.0,0.0
0.321,0.0,0.0,0.0,0.0
0.329,0.0,0.0,0.0,0.0
0.336,0.0,0.0,0.0,0.0
0.344,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0
0.356,0.0,0.0,0.0,0.0
0.362,0.0,0.0,0.0,0.0
0.369,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.381,0.0,0.0,0.0,0.0
0.388,0.0,0.0,0.0,0.0
0.394,0.0,0.0,0.0,0.0
0.401,0.0,0.0,0.0,0.0
0.407,0.0,0.0,0.0,0.0
0.413,0.0,0.0,0.0,0.0
0.421,0.0,0.0,0.0,0.0
0.427,0.0,0.0,0.0,0.0
0.433,0.0,0.0,0.0,0.0
0.439,0.0,0.0,0.0,0.0
0.445,0.0,0.0,0.0,0.0
0.451,0.0,0.0,0.0,0.0
0.457,0.0,0.0,0.0,0.0
0.463,0.0,0.0,0.003,0.0
0.469,0.0,0.0,0.003,0.0
0.475,0.0,0.0,0.0,0.0
0.482,0.0,0.0,0.0,0.0
0.489,0.0,0.0,0.0,0.0
0.495,0.0,0.0,0.0,0.0
0.502,0.0,0.0,0.0,0.0
0.513,0.0,0.0,0.0,0.0
0.519,0.0,0.0,0.0,0.0
0.525,0.0,0.0,0.0,0.0
0.533,0.0,0.0,0.0,0.0
0.539,0.0,0.0,0.0,0.0
0.546,0.0,0.0,0.0,0.0
0.552,0.0,0.0,0.003,0.0
0.559,0.0,0.0,0.003,0.0
0.567,0.0,0.0,0.0,0.0
0.573,0.0,0.0,0.0,0.0
0.58,0.0,0.0,0.0,0.0
0.586,0.0,0.0,0.0,0.0
0.595,0.0,0.0,0.0,0.0
0.603,0.0,0.0,0.0,0.0
0.61,0.0,0.0,0.0,0.0
0.617,0.0,0.0,0.003,0.0
0.623,0.0,0.0,0.003,0.0
0.631,0.0,0.0,0.003,0.0
0.638,0.0,0.0,0.0,0.0
0.644,0.0,0.0,0.0,0.0
0.651,0.0,0.0,0.0,0.0
0.657,0.0,0.0,0.0,0.0
