time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.013409,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000460,-0.000454,0.000193,-0.006938,-0.006844,0.002182
0.114484,13.179000,0.000000,0.000000,0.000000,0.000000,-0.000240,-0.000237,-0.000007,0.003469,0.003422,-0.001091
0.215415,9.260000,0.999992,0.999992,0.999992,0.999992,0.479875,-0.116091,-0.019179,9.659744,-1.996056,0.000000
0.316281,9.845000,0.999971,0.999970,0.999970,0.999970,1.745972,-0.349825,-0.057845,21.226690,-1.852374,-0.352338
0.417122,12.126000,0.640744,0.610352,0.623402,0.627656,5.076388,-0.731793,-0.056847,33.975289,-2.194880,0.151625
0.517882,13.053000,0.025895,0.026285,0.029902,0.022278,7.894249,-0.948717,-0.058738,37.762019,-0.059831,0.028362
0.618606,10.265000,0.999976,0.999998,0.999997,0.999996,11.585318,-1.168945,-0.055478,33.761578,-0.069427,-0.001091
0.719410,10.846000,0.216267,0.999995,0.999994,0.999978,15.724847,-1.398549,-0.060350,39.750437,-0.084103,-0.019635
0.820353,11.313000,-0.999544,0.999980,0.999979,-0.828906,18.770873,-1.514069,-0.041583,45.244664,0.834819,0.309796
0.921362,11.532000,-0.511429,0.868851,0.805435,-0.448167,23.918927,-1.289948,0.042978,40.901524,5.739360,0.553051
1.022090,11.632000,-0.511429,0.868851,0.805435,-0.448167,28.181268,-0.097506,0.052463,34.130680,11.912093,0.006545
1.122931,10.815000,-0.999977,0.999998,0.999999,-0.999997,30.551681,1.242782,0.089786,26.231844,16.224321,0.382882
1.223888,10.370000,-0.999843,0.999996,0.999997,-0.999993,32.693159,3.883099,0.121849,16.905128,24.936361,0.415607
1.324763,10.959000,-0.770919,0.999989,0.999993,-0.999976,33.631455,7.327648,0.141743,12.477952,30.282889,0.016362
1.443979,11.383000,-0.317176,0.999940,0.999953,-0.845167,34.222196,10.186222,0.117555,10.637269,34.126830,-0.266163
1.545540,11.501000,-0.999998,0.999998,0.999999,-0.999998,35.323572,14.930889,0.057762,13.855761,36.999008,-0.526871
1.655158,10.841000,-0.999996,0.999997,0.999998,-0.999997,37.053962,19.874537,-0.041294,13.752347,40.831800,-0.810487
1.756796,10.964000,-0.999990,0.999993,0.999994,-0.999992,37.656704,22.894698,-0.016677,3.880402,41.482299,-0.061087
1.858020,11.108000,-0.999949,0.999966,0.999969,-0.999956,37.978953,27.500593,-0.012945,0.444728,44.577578,0.025089
1.959065,11.217000,-0.999949,0.999966,0.999969,-0.999956,38.037431,32.641436,-0.006321,-0.344113,45.932883,0.080721
2.063761,11.217000,-0.999999,0.999999,0.999998,-0.999998,38.000087,37.885692,0.000548,-0.416270,46.384439,0.062177
2.177665,11.296000,-0.999998,0.999997,0.999996,-0.999997,37.924308,42.729029,0.007449,-0.524502,47.340080,0.068722
2.278564,11.362000,-0.999994,0.999992,0.999985,-0.999992,37.805362,48.153859,0.015597,-0.178297,49.624109,0.069813
2.379480,11.707000,-0.999971,0.999230,0.208268,-0.999962,37.717884,52.010086,0.026294,-0.326071,47.816790,0.102538
2.480429,11.462000,-0.999971,0.999230,0.208268,-0.999962,37.351524,57.353101,0.066983,-4.362525,45.825045,0.556324
2.581509,11.169000,-0.999998,0.999992,-0.676140,-0.999997,36.132936,62.409496,0.171759,-8.128397,43.215407,1.016654
2.682436,11.440000,-0.999994,0.999962,0.347161,-0.999992,34.868078,65.376121,0.264647,-11.355176,39.779247,1.568615
2.783448,11.676000,-0.999935,0.220744,-0.067007,-0.999921,32.145952,68.959860,0.465161,-11.664600,37.913862,1.638428
2.884479,11.646000,0.450688,-0.225002,-0.238926,0.464535,29.259694,71.652997,0.592543,-12.657450,30.778703,1.442078
2.985765,12.096000,0.450688,-0.225002,-0.238926,0.464535,28.166948,72.036446,0.637438,-5.557202,6.383996,0.877028
3.086735,8.407000,-0.999975,0.999963,0.999963,-0.999975,27.983578,71.896487,0.641317,1.204432,0.694162,-0.007636
3.187725,12.742000,-0.018995,0.047182,0.054820,-0.026608,27.781172,72.046294,0.653178,0.606362,4.855288,-0.126536
3.288780,12.179000,0.327641,-0.287632,-0.286754,0.327656,27.641948,72.418902,0.637461,0.253217,4.588623,-0.148353
3.389816,12.926000,0.029207,-0.030396,-0.030993,0.028761,27.851215,72.106119,0.649924,-0.147074,-4.907817,0.082903
3.490493,12.961000,-0.999987,0.999963,0.999931,-0.999984,27.936659,72.012581,0.649322,0.484956,0.817246,-0.065450
3.591286,9.509000,-0.575844,-0.079734,-0.178024,-0.477468,27.564923,72.430291,0.656913,-1.528404,9.875365,0.237801
3.692203,12.196000,0.510900,-0.203779,-0.209369,0.517483,26.734791,73.243383,0.667984,-6.578574,11.172212,0.112356
3.798846,11.921000,0.055729,-0.006467,-0.006427,0.055967,25.681456,73.117796,0.700691,-5.193726,-2.091055,0.322886
3.900787,12.930000,0.055729,-0.006467,-0.006427,0.055967,25.494773,72.752885,0.687031,0.221321,-2.066364,-0.005454
