time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.023702,12.244000,0.000000,-0.000000,0.000000,-0.000000,0.000197,0.000093,-0.000106,0.000207,0.000164,0.001091
0.052618,10.509000,0.585757,0.585757,0.585757,0.585757,0.000203,0.000098,-0.000053,0.000103,0.000082,0.001091
0.109022,9.898000,0.843278,0.843278,0.843278,0.843278,0.005800,0.000122,-0.000065,0.143634,0.000450,0.001091
0.152592,9.535000,0.843278,0.843278,0.843278,0.843278,0.018823,-0.000395,-0.005667,0.296311,-0.008478,-0.127627
0.202493,9.552000,1.000000,1.000000,1.000000,1.000000,0.029969,-0.000698,-0.005855,0.409664,-0.008846,-0.191986
0.252545,9.666000,1.000000,1.000000,1.000000,1.000000,0.060499,-0.002175,-0.018566,0.613340,-0.026928,-0.207258
0.302737,9.998000,1.000000,1.000000,1.000000,1.000000,0.100446,-0.004505,-0.026433,0.785969,-0.028442,-0.207258
0.352503,10.190000,1.000000,1.000000,1.000000,1.000000,0.145384,-0.008482,-0.045247,0.907951,-0.042564,-0.341430
0.402527,10.326000,1.000000,1.000000,1.000000,1.000000,0.201757,-0.013265,-0.053088,1.059516,-0.038665,-0.206167
0.452506,10.571000,1.000000,1.000000,1.000000,1.000000,0.258813,-0.017691,-0.061602,1.138207,-0.014408,-0.133081
0.502575,10.772000,1.000000,1.000000,1.000000,1.000000,0.325167,-0.022378,-0.063232,1.244794,-0.004745,-0.014181
0.552541,10.811000,1.000000,1.000000,1.000000,1.000000,0.392794,-0.026691,-0.059681,1.333360,0.001033,0.097084
0.602492,10.990000,1.000000,1.000000,1.000000,1.000000,0.465871,-0.031252,-0.054438,1.365378,-0.008536,0.097084
0.652631,11.003000,1.000000,1.000000,1.000000,1.000000,0.503420,-0.033400,-0.053048,1.397053,-0.003426,0.081812
0.707533,11.139000,1.000000,1.000000,1.000000,1.000000,0.579558,-0.036967,-0.045574,1.409285,0.005002,0.125446
0.752490,11.178000,1.000000,1.000000,1.000000,1.000000,0.658143,-0.040182,-0.039125,1.477788,0.001973,0.094902
0.802517,11.794000,0.731793,0.731793,0.731793,0.731793,0.736269,-0.043063,-0.031210,1.481468,-0.001339,0.127627
0.852605,12.048000,0.731793,0.731793,0.731793,0.731793,0.818457,-0.045291,-0.025696,1.493402,0.004798,0.127627
0.902482,12.187000,0.000000,-0.000000,0.000000,0.000000,0.894258,-0.046100,-0.009680,1.394096,0.013934,0.283616
0.952527,12.196000,0.000000,-0.000000,0.000000,0.000000,0.957325,-0.045963,0.000643,1.108781,0.007874,0.212712
1.002500,12.192000,0.000000,-0.000000,0.000000,0.000000,0.983798,-0.045527,0.006181,1.007573,0.015971,0.278162
1.060400,12.187000,0.000000,-0.000000,0.000000,0.000000,1.028885,-0.043513,0.010718,0.732972,0.027877,-0.031634
1.102374,12.192000,0.000000,-0.000000,0.000000,0.000000,1.056184,-0.041208,0.009357,0.411768,0.050621,-0.031634
1.152571,12.192000,0.000000,-0.000000,0.000000,0.000000,1.069080,-0.039913,0.002276,0.156069,0.017765,-0.209440
1.202595,12.201000,0.000000,-0.000000,0.000000,0.000000,1.072193,-0.039340,0.005669,0.031878,0.002374,0.021817
1.252510,12.222000,0.000000,-0.000000,0.000000,0.000000,1.072056,-0.039567,0.006805,-0.011115,-0.003553,0.045815
1.302505,12.214000,0.000000,-0.000000,0.000000,0.000000,1.071610,-0.039558,0.006757,-0.017372,0.000496,-0.028362
1.352389,12.218000,0.000000,-0.000000,0.000000,0.000000,1.070348,-0.039692,0.005377,-0.019985,-0.002129,0.006545
1.408708,12.218000,0.000000,-0.000000,0.000000,-0.000000,1.070032,-0.039676,0.005651,-0.003060,0.000123,0.006545
1.452541,12.222000,0.000000,-0.000000,0.000000,0.000000,1.069930,-0.039768,0.005453,-0.001964,-0.001556,-0.020726
1.502531,12.227000,0.000000,-0.000000,0.000000,0.000000,1.069893,-0.039797,0.006115,0.000620,0.000491,0.006545
1.554824,12.227000,0.000000,-0.000000,0.000000,0.000000,1.069919,-0.039776,0.006039,0.000413,0.000328,0.004363
1.608661,12.227000,0.000000,-0.000000,0.000000,0.000000,1.069933,-0.039765,0.005987,0.000103,0.000082,0.001091
1.652540,12.218000,-0.007151,-0.007151,-0.007151,-0.007151,1.069933,-0.039765,0.005974,-0.000103,-0.000082,-0.001091
1.702499,12.048000,-0.178055,-0.178055,-0.178055,-0.178055,1.069930,-0.039767,0.005945,-0.000103,-0.000082,-0.001091
1.752547,11.938000,-0.345009,-0.345009,-0.345009,-0.345009,1.069005,-0.039784,0.006000,-0.030811,-0.000286,0.001091
1.802540,11.545000,-0.345009,-0.345009,-0.345009,-0.345009,1.064048,-0.039939,0.005095,-0.112385,-0.003191,-0.013090
1.852555,10.107000,-0.680489,-0.680489,-0.680489,-0.680489,1.051920,-0.040410,0.002196,-0.254902,-0.010839,-0.021817
1.902577,10.518000,-0.680489,-0.680489,-0.680489,-0.680489,1.030896,-0.040920,0.001391,-0.448864,-0.009161,-0.014181
1.952534,11.947000,-0.345009,-0.345009,-0.345009,-0.345009,1.001026,-0.041657,0.000623,-0.585770,-0.015050,-0.014181
2.002548,12.096000,-0.345009,-0.345009,-0.345009,-0.345009,0.964437,-0.043015,-0.006618,-0.675663,-0.026630,-0.085085
2.052493,12.174000,-0.043878,-0.043878,-0.043878,-0.043878,0.946330,-0.043878,-0.008570,-0.658341,-0.036609,-0.100356
2.108447,12.170000,-0.035038,-0.035038,-0.035038,-0.035038,0.908798,-0.045068,-0.013673,-0.613810,-0.022624,-0.115628
2.154637,12.187000,-0.035038,-0.035038,-0.035038,-0.035038,0.877800,-0.045942,-0.019692,-0.532083,-0.023403,-0.115628
2.202589,12.196000,-0.029937,-0.029937,-0.029937,-0.029937,0.851977,-0.046425,-0.026354,-0.452602,-0.018781,-0.107992
2.252530,12.222000,-0.029937,-0.029937,-0.029937,-0.029937,0.840621,-0.046597,-0.030910,-0.442202,-0.019643,-0.134172
2.302609,12.218000,-0.029937,-0.029937,-0.029937,-0.029937,0.819314,-0.046884,-0.038112,-0.369449,-0.019519,-0.127627
