time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.040962,12.393000,0.000000,-0.000000,0.000000,-0.000000,-0.000046,-0.000037,0.000044,0.000103,0.000082,0.001091
0.055511,9.050000,-1.000000,1.000000,1.000000,-1.000000,-0.000042,-0.000033,0.000000,0.000103,0.000082,0.002182
0.103353,9.032000,-1.000000,1.000000,1.000000,-1.000000,-0.000203,0.000633,0.000000,-0.006050,0.023718,0.000000
0.153339,9.059000,-1.000000,1.000000,1.000000,-1.000000,-0.003707,0.008434,0.006804,-0.078758,0.160828,0.338158
0.203281,9.683000,-1.000000,1.000000,1.000000,-1.000000,-0.007264,0.026249,0.021920,-0.069529,0.375383,0.338158
0.253283,9.666000,-1.000000,1.000000,1.000000,-1.000000,-0.013689,0.051051,0.043183,-0.118138,0.517160,0.388336
0.303276,9.801000,-1.000000,1.000000,1.000000,-1.000000,-0.021215,0.083374,0.055538,-0.110066,0.659700,0.306524
0.353315,10.077000,-1.000000,1.000000,1.000000,-1.000000,-0.030521,0.122097,0.070529,-0.146004,0.753290,0.195259
0.403276,10.138000,-1.000000,1.000000,1.000000,-1.000000,-0.040777,0.165205,0.082112,-0.121511,0.844104,0.135263
0.453260,10.212000,-1.000000,1.000000,1.000000,-1.000000,-0.049039,0.209730,0.090248,-0.080665,0.887208,0.170170
0.503318,10.238000,-1.000000,1.000000,1.000000,-1.000000,-0.053145,0.232750,0.094595,-0.078824,0.911865,0.170170
0.566943,10.356000,-1.000000,1.000000,1.000000,-1.000000,-0.064126,0.285932,0.101177,-0.112736,0.974263,0.138536
0.604479,11.047000,-0.000067,0.000067,0.000067,-0.000067,-0.074699,0.340449,0.110357,-0.070380,1.028896,0.150535
0.653253,12.257000,-0.000067,0.000067,0.000067,-0.000067,-0.084034,0.395557,0.116177,-0.063049,1.023534,0.103629
0.703268,12.292000,0.000000,-0.000000,0.000000,0.000000,-0.094842,0.442282,0.120946,-0.106695,0.902863,0.109083
0.753340,12.292000,0.000000,-0.000000,0.000000,0.000000,-0.102922,0.479587,0.128924,-0.047075,0.597769,0.266163
0.803309,12.305000,0.000000,-0.000000,0.000000,0.000000,-0.107457,0.503132,0.142677,-0.024460,0.401628,0.266163
0.853298,12.305000,0.000000,-0.000000,0.000000,0.000000,-0.108023,0.509907,0.158213,0.017060,0.253505,0.533416
0.903299,12.327000,0.000000,-0.000000,0.000000,0.000000,-0.106555,0.515426,0.177119,0.034615,0.054767,0.116719
0.953255,12.336000,0.000000,-0.000000,0.000000,0.000000,-0.105791,0.514806,0.177911,-0.004036,-0.025231,-0.007636
1.003356,12.332000,0.000000,-0.000000,0.000000,0.000000,-0.106223,0.513974,0.178349,-0.010660,-0.007198,-0.007636
1.059484,12.332000,0.000000,-0.000000,0.000000,0.000000,-0.106566,0.514029,0.177919,-0.003300,0.002003,-0.007636
1.103319,12.340000,0.000000,-0.000000,-0.000000,0.000000,-0.106610,0.513942,0.176034,-0.000550,-0.002046,-0.017453
1.164232,12.030000,0.360220,-0.360220,-0.360220,0.360220,-0.106496,0.513987,0.177893,0.001770,0.000819,0.010908
1.203329,11.392000,0.360220,-0.360220,-0.360220,0.360220,-0.106437,0.513988,0.177456,0.002163,-0.000328,-0.004363
1.253331,8.556000,1.000000,-1.000000,-1.000000,1.000000,-0.105173,0.510574,0.176372,0.014676,-0.087182,0.063268
1.303355,9.255000,1.000000,-1.000000,-1.000000,1.000000,-0.101592,0.500162,0.189529,0.038014,-0.264277,0.337067
1.353749,9.530000,1.000000,-1.000000,-1.000000,1.000000,-0.093760,0.481561,0.202885,0.075002,-0.399763,0.337067
1.403347,9.780000,1.000000,-1.000000,-1.000000,1.000000,-0.082887,0.457735,0.241924,0.103488,-0.508574,0.730857
1.453266,9.845000,1.000000,-1.000000,-1.000000,1.000000,-0.068125,0.428450,0.278529,0.138731,-0.646180,0.687223
1.503299,9.985000,1.000000,-1.000000,-1.000000,1.000000,-0.050729,0.395275,0.306461,0.143863,-0.732965,0.570505
1.553272,10.186000,1.000000,-1.000000,-1.000000,1.000000,-0.039861,0.375124,0.322934,0.149016,-0.782649,0.443968
1.603872,10.252000,1.000000,-1.000000,-1.000000,1.000000,-0.018907,0.333878,0.339898,0.122671,-0.858394,0.443968
1.653300,10.391000,1.000000,-1.000000,-1.000000,1.000000,0.002488,0.290190,0.350265,0.091749,-0.904902,0.319613
1.703288,10.457000,1.000000,-1.000000,-1.000000,1.000000,0.025500,0.242284,0.362863,0.085770,-0.969890,0.213803
1.753297,10.404000,1.000000,-1.000000,-1.000000,1.000000,0.048710,0.195041,0.374758,0.089058,-0.994506,0.229074
1.803308,10.488000,1.000000,-1.000000,-1.000000,1.000000,0.073029,0.146524,0.383333,0.083591,-1.008917,0.066541
1.853507,10.509000,1.000000,-1.000000,-1.000000,1.000000,0.097759,0.094792,0.386946,0.057830,-1.067433,0.066541
1.903251,10.536000,1.000000,-1.000000,-1.000000,1.000000,0.109822,0.068387,0.387540,0.044829,-1.086699,0.010908
1.953288,10.610000,1.000000,-1.000000,-1.000000,1.000000,0.133516,0.015371,0.385180,0.029401,-1.089363,-0.039270
2.003314,10.623000,1.000000,-1.000000,-1.000000,1.000000,0.155615,-0.038346,0.383760,0.005124,-1.129683,-0.046906
2.053292,10.675000,1.000000,-1.000000,-1.000000,1.000000,0.178990,-0.094131,0.381898,0.020581,-1.113122,-0.010908
2.114688,10.667000,1.000000,-1.000000,-1.000000,1.000000,0.203784,-0.152491,0.381270,0.021048,-1.132501,-0.053451
2.153362,10.662000,1.000000,-1.000000,-1.000000,1.000000,0.227789,-0.208252,0.378939,0.040570,-1.161825,-0.053451
2.203275,10.706000,1.000000,-1.000000,-1.000000,1.000000,0.254296,-0.265510,0.376697,0.066874,-1.154833,-0.063268
2.253376,10.715000,1.000000,-1.000000,-1.000000,1.000000,0.266755,-0.292835,0.377498,0.058405,-1.165093,-0.028362
2.303285,10.684000,1.000000,-1.000000,-1.000000,1.000000,0.294601,-0.353386,0.378029,0.066464,-1.154173,-0.005454
2.353289,12.236000,0.007148,-0.007148,-0.007148,0.007148,0.319199,-0.410289,0.374627,0.019092,-1.154827,-0.004363
2.403296,12.270000,0.000000,-0.000000,0.000000,0.000000,0.341717,-0.462573,0.372844,0.038229,-1.095207,0.005454
2.453273,12.253000,0.000000,-0.000000,0.000000,0.000000,0.359382,-0.508050,0.373086,-0.016412,-0.848996,0.005454
2.503295,12.262000,0.000000,-0.000000,0.000000,0.000000,0.370258,-0.538889,0.380493,-0.023083,-0.583383,0.195259
2.553285,12.262000,0.000000,-0.000000,0.000000,0.000000,0.375957,-0.556823,0.400469,-0.041642,-0.265063,0.356702
2.603277,12.266000,0.000000,-0.000000,0.000000,0.000000,0.376870,-0.563973,0.414837,-0.028434,-0.089887,0.317432
2.653264,12.270000,0.000000,-0.000000,0.000000,0.000000,0.376482,-0.563850,0.418012,-0.015222,0.008102,0.049087
2.703291,12.275000,0.000000,-0.000000,0.000000,0.000000,0.376238,-0.563119,0.416828,0.002812,0.029079,-0.070904
2.753349,12.270000,0.000000,-0.000000,0.000000,0.000000,0.376216,-0.562655,0.414283,0.001377,0.001669,-0.070904
2.803308,12.270000,0.000000,-0.000000,0.000000,0.000000,0.376584,-0.562598,0.416497,0.005942,-0.002777,0.031634
2.853318,12.279000,0.000000,-0.000000,0.000000,0.000000,0.376661,-0.562555,0.416846,-0.000504,-0.000247,-0.013090
2.903416,12.266000,-0.004989,0.004989,0.004989,-0.004989,0.376612,-0.562551,0.416168,-0.000413,0.000408,-0.004363
2.955703,11.624000,-1.000000,1.000000,1.000000,-1.000000,0.376594,-0.562584,0.416194,-0.000620,-0.000491,-0.006545
3.003275,8.687000,-1.000000,1.000000,1.000000,-1.000000,0.375148,-0.560977,0.418191,-0.019390,0.069434,0.170170
3.053295,9.120000,-1.000000,1.000000,1.000000,-1.000000,0.372262,-0.556900,0.422605,-0.036133,0.180229,0.170170
