time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.029725,12.764000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.053400,12.769000,0.000000,-0.000000,0.000000,-0.000000,0.000006,0.000005,0.000047,0.000207,0.000164,0.002182
0.103627,12.764000,0.000000,-0.000000,0.000000,-0.000000,0.000021,0.000017,0.000045,0.000310,0.000246,0.003272
0.153422,12.764000,0.000000,-0.000000,0.000000,-0.000000,0.000030,0.000024,0.000000,0.000310,0.000246,-0.002182
0.203383,12.769000,0.000000,-0.000000,0.000000,-0.000000,0.000018,0.000014,-0.000085,-0.000207,-0.000164,-0.002182
0.253577,12.769000,0.000000,-0.000000,0.000000,-0.000000,0.000007,0.000005,-0.000075,-0.000207,-0.000164,-0.002182
0.303387,12.764000,0.000000,-0.000000,0.000000,-0.000000,0.000004,0.000003,0.000030,0.000103,0.000082,0.001091
0.353763,12.773000,0.000000,-0.000000,0.000000,-0.000000,0.000007,0.000005,0.000000,0.000103,0.000082,-0.001091
0.403584,12.760000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000055,-0.000103,-0.000082,-0.001091
0.453452,12.769000,0.000000,-0.000000,0.000000,-0.000000,0.000013,0.000010,0.000086,0.000207,0.000164,0.002182
0.503666,12.747000,0.000000,-0.000000,0.000000,-0.000000,0.000007,0.000005,-0.000012,-0.000207,-0.000164,-0.002182
0.576412,12.742000,0.000000,-0.000000,0.000000,-0.000000,-0.000014,-0.000011,-0.000013,-0.000413,-0.000328,-0.004363
0.603591,12.742000,0.000000,-0.000000,0.000000,-0.000000,-0.000026,-0.000021,-0.000146,-0.000413,-0.000328,-0.004363
0.672415,11.104000,0.500000,0.500000,0.500000,0.500000,-0.000044,-0.000035,-0.000034,-0.000103,-0.000082,-0.001091
0.703492,11.300000,0.500000,0.500000,0.500000,0.500000,0.002203,0.000445,0.000000,0.065037,0.013903,-0.095993
0.753592,11.501000,0.500000,0.500000,0.500000,0.500000,0.012937,0.000074,-0.004792,0.203622,-0.014936,-0.095993
0.803564,11.632000,0.500000,0.500000,0.500000,0.500000,0.029077,-0.002103,-0.032803,0.324944,-0.030219,-0.373064
0.853596,11.729000,0.500000,0.500000,0.500000,0.500000,0.041874,-0.003204,-0.043375,0.428206,-0.018510,-0.246528
0.903746,11.847000,0.500000,0.500000,0.500000,0.500000,0.068937,-0.005161,-0.048258,0.478625,-0.004893,-0.035997
0.953638,11.943000,0.500000,0.500000,0.500000,0.500000,0.104078,-0.006232,-0.050169,0.582487,0.010914,-0.035997
1.003760,12.000000,0.500000,0.500000,0.500000,0.500000,0.123364,-0.006419,-0.043502,0.624140,0.021845,0.085085
1.053754,12.100000,0.500000,0.500000,0.500000,0.500000,0.162227,-0.007110,-0.034891,0.669791,0.014532,0.139626
1.112920,12.152000,0.500000,0.500000,0.500000,0.500000,0.203170,-0.007583,-0.024166,0.698865,0.014532,0.221439
1.180760,11.951000,0.499985,0.499985,0.499985,0.499985,0.224902,-0.007302,-0.017879,0.706250,0.026195,0.221439
1.203517,12.052000,0.499985,0.499985,0.499985,0.499985,0.273400,-0.006522,-0.012051,0.723887,0.019361,0.174533
1.253664,12.083000,0.499985,0.499985,0.499985,0.499985,0.314753,-0.005693,-0.004498,0.735048,0.020297,0.133081
1.303621,12.052000,0.499985,0.499985,0.499985,0.499985,0.336276,-0.005295,-0.000623,0.739096,0.016985,0.133081
1.353665,12.231000,0.499985,0.499985,0.499985,0.499985,0.381578,-0.003014,0.007706,0.743790,0.042459,0.124355
1.404814,12.179000,0.499985,0.499985,0.499985,0.499985,0.425987,0.000019,0.013479,0.749207,0.043849,0.123264
1.453466,12.056000,0.499985,0.499985,0.499985,0.499985,0.453712,0.002003,0.017995,0.742950,0.043113,0.119991
1.503396,12.201000,0.499985,0.499985,0.499985,0.499985,0.497937,0.005860,0.023616,0.757729,0.051332,0.119991
1.553786,12.257000,0.499985,0.499985,0.499985,0.499985,0.519269,0.007832,0.025793,0.749020,0.050680,0.140717
1.603677,12.201000,0.499985,0.499985,0.499985,0.499985,0.564730,0.011896,0.032901,0.764846,0.044792,0.123264
1.662764,12.231000,0.499985,0.499985,0.499985,0.499985,0.610333,0.015583,0.040106,0.753623,0.033913,0.123264
1.708955,12.699000,0.000000,0.000000,0.000000,0.000000,0.632586,0.017441,0.044245,0.762406,0.031790,0.153807
1.753419,12.725000,0.000000,0.000000,0.000000,0.000000,0.678896,0.021231,0.052965,0.745047,0.027367,0.094902
1.803655,12.707000,0.000000,0.000000,0.000000,0.000000,0.709540,0.024973,0.058183,0.455517,0.032188,0.061087
1.853597,12.673000,0.000000,0.000000,0.000000,0.000000,0.720650,0.026995,0.059942,0.389273,0.047646,0.061087
1.903489,12.686000,0.000000,0.000000,0.000000,0.000000,0.731001,0.029009,0.054881,0.106223,0.008954,-0.013090
1.953466,12.694000,0.000000,0.000000,0.000000,0.000000,0.732682,0.028977,0.056552,0.010123,-0.005727,-0.017453
2.003523,12.694000,0.000000,0.000000,0.000000,0.000000,0.731502,0.028644,0.055513,-0.023368,-0.002415,-0.017453
2.053436,12.699000,0.000000,0.000000,0.000000,0.000000,0.730932,0.028533,0.055288,-0.019133,-0.002621,-0.034907
2.103317,12.725000,0.000000,0.000000,0.000000,0.000000,0.730508,0.028439,0.055166,-0.001588,0.000123,0.006545
2.153672,12.729000,0.000000,0.000000,0.000000,0.000000,0.730534,0.028451,0.054886,0.000310,0.000246,0.003272
2.228467,12.725000,0.000000,-0.000000,0.000000,-0.000000,0.730544,0.028460,0.054995,0.000310,0.000246,0.003272
2.253479,12.734000,0.000000,-0.000000,0.000000,-0.000000,0.730544,0.028460,0.054858,0.000000,0.000000,0.000000
2.303388,12.734000,0.000000,-0.000000,0.000000,-0.000000,0.730544,0.028460,0.054942,0.000000,0.000000,0.000000
2.353708,12.734000,0.000000,-0.000000,0.000000,-0.000000,0.730544,0.028460,0.054948,0.000000,0.000000,-0.003272
2.403686,12.729000,0.000000,-0.000000,0.000000,-0.000000,0.730525,0.028444,0.054800,-0.000310,-0.000246,-0.003272
2.453498,12.734000,0.000000,-0.000000,0.000000,-0.000000,0.730531,0.028449,0.054983,0.000103,0.000082,0.001091
2.503599,12.734000,0.000000,-0.000000,0.000000,-0.000000,0.730534,0.028451,0.054859,0.000103,0.000082,0.000000
2.553718,12.734000,0.000000,-0.000000,0.000000,-0.000000,0.730534,0.028451,0.054859,0.000000,0.000000,0.000000
2.603583,12.699000,0.000000,-0.000000,0.000000,-0.000000,0.730527,0.028446,0.054888,-0.000103,-0.000082,-0.001091
2.653680,12.703000,0.000000,-0.000000,0.000000,-0.000000,0.730525,0.028443,0.054934,-0.000103,-0.000082,-0.001091
2.703445,12.694000,0.000000,-0.000000,0.000000,-0.000000,0.730522,0.028441,0.054937,0.000000,0.000000,0.000000
2.766329,12.699000,0.000000,-0.000000,0.000000,-0.000000,0.730522,0.028441,0.054943,0.000000,0.000000,0.000000
2.803362,12.699000,0.000000,-0.000000,0.000000,-0.000000,0.730522,0.028441,0.054943,0.000000,0.000000,0.000000
2.854979,12.703000,0.000000,-0.000000,0.000000,-0.000000,0.730515,0.028435,0.054802,-0.000207,-0.000164,-0.002182
2.903266,12.703000,0.000000,-0.000000,0.000000,-0.000000,0.730510,0.028430,0.054848,0.000000,0.000000,0.000000
2.953577,12.694000,0.000000,-0.000000,0.000000,-0.000000,0.730507,0.028428,0.054929,-0.000103,-0.000082,-0.001091
3.003355,12.703000,0.000000,-0.000000,0.000000,-0.000000,0.730504,0.028425,0.054932,-0.000103,-0.000082,-0.002182
3.053680,12.707000,0.000000,-0.000000,0.000000,-0.000000,0.730493,0.028415,0.054863,-0.000207,-0.000164,-0.002182
3.103493,12.703000,0.000000,-0.000000,0.000000,-0.000000,0.730478,0.028402,0.054872,-0.000310,-0.000246,-0.003272
