time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.031016,12.725000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.053013,12.738000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.103096,12.742000,0.000000,-0.000000,0.000000,-0.000000,-0.000008,-0.000007,-0.000018,-0.000310,-0.000246,-0.003272
0.153486,12.738000,0.000000,-0.000000,0.000000,-0.000000,-0.000026,-0.000020,-0.000200,-0.000310,-0.000246,-0.003272
0.203287,12.699000,0.000000,-0.000000,0.000000,-0.000000,-0.000035,-0.000028,-0.000063,-0.000310,-0.000246,-0.003272
0.253397,12.699000,0.000000,-0.000000,0.000000,-0.000000,-0.000041,-0.000032,0.000013,0.000103,0.000082,0.001091
0.303202,12.699000,0.000000,-0.000000,0.000000,-0.000000,-0.000028,-0.000022,0.000003,0.000310,0.000246,0.003272
0.353335,12.694000,0.000000,-0.000000,0.000000,-0.000000,-0.000020,-0.000016,0.000095,0.000310,0.000246,0.003272
0.403534,12.677000,0.000000,-0.000000,0.000000,-0.000000,-0.000006,-0.000005,0.000018,0.000103,0.000082,0.001091
0.453474,12.694000,0.000000,-0.000000,0.000000,-0.000000,0.000013,0.000010,0.000037,0.000517,0.000410,0.005454
0.503295,12.694000,0.000000,-0.000000,0.000000,-0.000000,0.000028,0.000022,0.000204,0.000517,0.000410,0.005454
0.564020,11.554000,-0.500000,0.500000,0.500000,-0.500000,0.000048,0.000038,0.000030,0.000103,0.000082,0.001091
0.603149,11.086000,-0.500000,0.500000,0.500000,-0.500000,-0.000605,0.001388,0.000039,-0.015618,0.045431,0.002182
0.653546,11.257000,-0.500000,0.500000,0.500000,-0.500000,-0.000802,0.004725,0.000103,-0.006786,0.114988,0.002182
0.703253,11.541000,-0.500000,0.500000,0.500000,-0.500000,-0.000847,0.018547,0.011679,0.001736,0.279547,0.095993
0.753305,11.615000,-0.500000,0.500000,0.500000,-0.500000,-0.000519,0.039947,0.014486,0.010867,0.369428,0.106901
0.803233,11.711000,-0.500000,0.500000,0.500000,-0.500000,-0.000516,0.052926,0.021523,0.006082,0.412856,0.160352
0.853211,11.777000,-0.500000,0.500000,0.500000,-0.500000,-0.000381,0.079720,0.028031,0.015564,0.445943,0.160352
0.903701,11.790000,-0.500000,0.500000,0.500000,-0.500000,-0.000863,0.108317,0.033534,-0.002180,0.482989,0.143990
0.954055,11.847000,-0.500000,0.500000,0.500000,-0.500000,-0.001316,0.122819,0.034245,0.001133,0.491086,0.098175
1.003428,11.820000,-0.500000,0.500000,0.500000,-0.500000,-0.002272,0.153978,0.040031,0.001207,0.504575,0.098175
1.090875,11.790000,-0.499985,0.499985,0.499985,-0.499985,-0.003429,0.184277,0.041711,0.000765,0.515079,0.046906
1.103643,11.877000,-0.499985,0.499985,0.499985,-0.499985,-0.004035,0.199905,0.042145,0.001604,0.512216,0.047997
1.153607,11.781000,-0.499985,0.499985,0.499985,-0.499985,-0.005225,0.230967,0.043901,0.002340,0.503016,0.003272
1.203046,11.646000,-0.499985,0.499985,0.499985,-0.499985,-0.006258,0.248961,0.044003,-0.007050,0.524315,0.003272
1.253388,11.785000,-0.499985,0.499985,0.499985,-0.499985,-0.007718,0.280108,0.048030,0.002762,0.541457,0.079631
1.303176,11.851000,-0.499985,0.499985,0.499985,-0.499985,-0.009158,0.311840,0.052101,0.000236,0.538428,0.049087
1.353340,11.877000,-0.499985,0.499985,0.499985,-0.499985,-0.010662,0.342456,0.056688,0.006674,0.530906,0.066541
1.403404,11.855000,-0.499985,0.499985,0.499985,-0.499985,-0.011530,0.358736,0.058668,0.001890,0.547835,0.066541
1.453255,11.842000,-0.499985,0.499985,0.499985,-0.499985,-0.013511,0.392050,0.067096,0.006252,0.533244,0.131991
1.503299,11.838000,-0.499985,0.499985,0.499985,-0.499985,-0.014453,0.407473,0.068224,0.003308,0.540604,0.087266
1.553125,11.816000,-0.499985,0.499985,0.499985,-0.499985,-0.016633,0.438999,0.072887,0.006430,0.546447,0.007636
