time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.066278,10.872000,0.000000,-0.000000,0.000000,-0.000000,-0.000068,-0.000054,0.000275,0.000517,0.000410,0.005454
0.084773,9.321000,-1.000000,1.000000,-1.000000,1.000000,-0.000043,-0.000034,0.000113,0.000103,0.000082,0.001091
0.101359,8.425000,-1.000000,1.000000,-1.000000,1.000000,-0.001472,0.000017,0.000149,-0.043324,0.001554,0.001091
0.151395,9.461000,-1.000000,1.000000,-1.000000,1.000000,-0.005038,-0.000477,0.005009,-0.117265,-0.016231,0.401426
0.201129,10.051000,-1.000000,1.000000,-1.000000,1.000000,-0.009886,-0.002044,0.116611,-0.039271,0.025186,2.614722
0.251250,10.474000,-1.000000,1.000000,-1.000000,1.000000,-0.016256,-0.005797,0.309850,-0.124654,-0.060932,4.048074
0.301920,10.789000,-1.000000,1.000000,-1.000000,1.000000,-0.017352,-0.004691,0.418527,-0.024518,0.048159,4.048074
0.351371,10.737000,-1.000000,1.000000,-1.000000,1.000000,-0.021221,-0.002144,0.739374,0.012612,0.064920,5.138904
0.401427,10.903000,-1.000000,1.000000,-1.000000,1.000000,-0.022428,0.001898,1.003649,0.057478,0.100240,5.418158
0.451272,10.964000,-1.000000,1.000000,-1.000000,1.000000,-0.027643,0.009064,1.306419,0.087345,0.162416,5.609053
0.501515,12.498000,-0.507743,0.507743,-0.507743,0.507743,-0.033247,0.014750,1.579872,0.091025,0.105004,5.673412
0.553266,12.638000,0.000000,-0.000000,0.000000,0.000000,-0.038357,0.019016,1.733439,0.139079,0.163568,5.673412
0.605287,12.659000,0.000000,-0.000000,0.000000,0.000000,-0.054818,0.024507,2.045075,0.156632,0.228370,4.806201
0.651388,12.681000,0.000000,-0.000000,0.000000,0.000000,-0.072023,0.027401,2.237668,0.136204,0.181642,2.272201
0.701432,12.707000,0.000000,-0.000000,0.000000,0.000000,-0.080964,0.028850,2.250970,0.230051,0.211452,-0.001091
0.751927,12.699000,0.000000,-0.000000,0.000000,0.000000,-0.082342,0.029578,2.250927,0.017930,-0.002290,-0.001091
0.801313,12.707000,0.000000,-0.000000,0.000000,0.000000,-0.081840,0.030005,2.239443,-0.007418,-0.012932,-0.093811
0.851320,12.703000,0.000000,-0.000000,0.000000,0.000000,-0.081551,0.029804,2.241802,-0.000575,0.003516,-0.002182
0.901266,12.721000,0.000000,-0.000000,0.000000,0.000000,-0.081575,0.029777,2.241425,-0.000207,0.001308,0.017453
0.951427,12.707000,0.000000,-0.000000,0.000000,0.000000,-0.081698,0.029806,2.242160,0.001654,0.001310,0.017453
1.001353,12.712000,0.000000,-0.000000,0.000000,0.000000,-0.081720,0.029811,2.241630,0.000310,0.000246,0.003272
1.089893,12.707000,0.000000,-0.000000,0.000000,-0.000000,-0.081730,0.029814,2.241514,0.000310,0.000246,0.006545
1.102720,12.721000,0.000000,-0.000000,0.000000,0.000000,-0.081784,0.029826,2.241927,0.000620,0.000491,0.006545
1.153105,12.690000,0.000000,-0.000000,0.000000,0.000000,-0.081754,0.029819,2.241270,-0.000413,-0.000328,-0.004363
1.201314,12.707000,0.000000,-0.000000,0.000000,0.000000,-0.081747,0.029817,2.241368,-0.000103,-0.000082,-0.001091
1.251362,12.703000,0.000000,-0.000000,0.000000,0.000000,-0.081743,0.029817,2.241363,-0.000103,-0.000082,-0.001091
1.301363,12.699000,0.000000,-0.000000,0.000000,0.000000,-0.081736,0.029815,2.241316,-0.000103,-0.000082,-0.001091
1.351372,12.690000,0.000000,-0.000000,0.000000,0.000000,-0.081757,0.029820,2.241390,0.000310,0.000246,0.003272
1.401403,12.707000,0.000000,-0.000000,0.000000,0.000000,-0.081775,0.029824,2.241330,0.000207,0.000164,0.002182
1.451299,12.694000,0.000000,-0.000000,0.000000,0.000000,-0.081782,0.029826,2.241223,0.000207,0.000164,0.002182
1.501408,12.707000,0.000000,-0.000000,0.000000,0.000000,-0.081796,0.029829,2.241295,0.000207,0.000164,0.002182
1.551323,10.155000,0.691276,-0.691276,0.691276,-0.691276,-0.081813,0.029833,2.241318,0.000207,0.000164,0.002182
1.614735,10.190000,1.000000,-0.691276,0.691276,-0.691276,-0.082946,0.030526,2.241427,0.047682,0.017461,-0.397062
1.651413,9.614000,1.000000,-1.000000,1.000000,-1.000000,-0.089872,0.034002,2.222978,0.151905,0.072499,-0.397062
1.701300,10.168000,1.000000,-1.000000,1.000000,-1.000000,-0.090655,0.036330,2.035911,0.059984,0.024579,-2.613631
1.751319,10.605000,1.000000,-1.000000,1.000000,-1.000000,-0.088382,0.035190,1.801317,-0.010862,-0.008992,-4.114614
1.801800,10.859000,1.000000,-1.000000,1.000000,-1.000000,-0.086454,0.033693,1.668713,-0.059187,-0.060558,-4.884741
1.851425,10.942000,1.000000,-1.000000,1.000000,-1.000000,-0.083238,0.031439,1.389251,-0.033057,-0.018971,-5.343981
1.902062,11.086000,1.000000,-1.000000,1.000000,-1.000000,-0.081390,0.027468,1.078146,-0.059649,-0.064493,-5.343981
1.951300,11.082000,1.000000,-1.000000,1.000000,-1.000000,-0.081003,0.023036,0.782621,-0.054487,-0.037205,-5.607962
2.001385,11.213000,1.000000,-1.000000,1.000000,-1.000000,-0.081881,0.020649,0.577245,-0.080943,-0.053988,-5.762860
2.051502,11.300000,1.000000,-1.000000,1.000000,-1.000000,-0.083535,0.012205,0.286180,-0.087873,-0.117139,-5.898123
2.101256,11.209000,1.000000,-1.000000,1.000000,-1.000000,-0.088819,0.005905,-0.070555,-0.095407,-0.119275,-5.985390
2.170274,11.239000,1.000000,-1.000000,1.000000,-1.000000,-0.091641,0.002389,-0.231644,-0.095407,-0.137677,-5.985390
2.202800,11.209000,1.000000,-1.000000,1.000000,-1.000000,-0.100305,-0.000445,-0.517120,-0.091405,-0.070655,-5.989753
2.251351,11.156000,1.000000,-1.000000,1.000000,-1.000000,-0.108607,-0.001668,-0.865221,-0.109781,-0.130318,-6.005025
2.301327,11.200000,1.000000,-1.000000,1.000000,-1.000000,-0.114498,-0.000645,-1.216494,-0.077763,-0.064809,-5.993025
2.351312,11.248000,1.000000,-1.000000,1.000000,-1.000000,-0.118782,0.000474,-1.385007,-0.083986,-0.120217,-5.993025
2.401446,11.278000,1.000000,-1.000000,1.000000,-1.000000,-0.123615,0.005317,-1.704611,-0.093034,-0.056622,-5.925394
2.451315,11.244000,1.000000,-1.000000,1.000000,-1.000000,-0.127628,0.011464,-2.063030,-0.090449,-0.130317,-5.995207
2.501398,11.283000,1.000000,-1.000000,1.000000,-1.000000,-0.128527,0.019344,-2.404332,-0.098740,-0.081003,-6.005025
2.551408,11.248000,1.000000,-1.000000,1.000000,-1.000000,-0.128250,0.023358,-2.577037,-0.100948,-0.096828,-6.005025
2.601874,11.174000,1.000000,-1.000000,1.000000,-1.000000,-0.126942,0.030630,-2.892892,-0.059705,-0.077365,-6.020296
2.661394,11.283000,1.000000,-1.000000,1.000000,-1.000000,-0.122657,0.035944,-3.165741,-0.075997,-0.093388,-5.959210
2.712499,11.204000,1.000000,-1.000000,1.000000,-1.000000,-0.117341,0.038212,-3.506659,-0.114197,-0.050088,-6.005024
2.751351,11.239000,1.000000,-1.000000,1.000000,-1.000000,-0.113205,0.038722,-3.682662,-0.125606,-0.066650,-6.005024
2.802974,11.257000,1.000000,-1.000000,1.000000,-1.000000,-0.105582,0.038898,-4.058012,-0.111906,-0.078715,-6.023568
2.851310,11.248000,1.000000,-1.000000,1.000000,-1.000000,-0.097869,0.036494,-4.332272,-0.107982,-0.113393,-6.044294
2.901305,11.204000,1.000000,-1.000000,1.000000,-1.000000,-0.090089,0.031662,-4.663577,-0.117919,-0.099776,-6.044294
2.951381,11.213000,1.000000,-1.000000,1.000000,-1.000000,-0.086704,0.028808,-4.819443,-0.096503,-0.098826,-5.958119
3.001310,11.165000,1.000000,-1.000000,1.000000,-1.000000,-0.083053,0.022025,-5.228150,-0.100560,-0.070696,-5.985390
3.069600,12.332000,0.000000,-0.000000,0.000000,0.000000,-0.083977,0.014756,-5.557559,-0.113019,-0.082306,-5.953755
3.101974,12.384000,0.000000,-0.000000,0.000000,0.000000,-0.084740,0.009917,-5.854607,-0.129948,-0.106963,-5.352707
3.151421,12.616000,0.000000,-0.000000,0.000000,0.000000,-0.096321,-0.001909,-6.040459,-0.310366,-0.147954,-5.352707
3.201348,12.642000,0.000000,-0.000000,0.000000,0.000000,-0.113557,-0.018039,-6.142130,-0.242258,-0.114882,-2.039854
3.260175,12.611000,0.000000,-0.000000,0.000000,0.000000,-0.120759,-0.024614,-6.150018,-0.255139,-0.174134,0.042542
3.301304,12.629000,0.000000,-0.000000,0.000000,0.000000,-0.123649,-0.025906,-6.147932,-0.036819,-0.003062,0.042542
3.351341,12.620000,0.000000,-0.000000,0.000000,0.000000,-0.123581,-0.025764,-6.138761,0.008899,0.002906,0.023998
3.401312,12.633000,0.000000,-0.000000,0.000000,0.000000,-0.122817,-0.025651,-6.140043,0.014676,-0.000328,-0.004363
3.451542,12.629000,0.000000,-0.000000,0.000000,0.000000,-0.122476,-0.025551,-6.138198,0.011636,0.001638,0.021817
3.501565,12.642000,0.000000,-0.000000,0.000000,0.000000,-0.122226,-0.025423,-6.138423,0.003172,0.001638,0.000000
3.555241,12.638000,0.000000,-0.000000,0.000000,0.000000,-0.122265,-0.025429,-6.138515,-0.000736,0.000000,-0.002182
3.601360,12.638000,0.000000,-0.000000,0.000000,0.000000,-0.122275,-0.025440,-6.138606,-0.000207,-0.000164,-0.002182
3.651765,12.629000,0.000000,-0.000000,0.000000,0.000000,-0.122272,-0.025436,-6.138408,0.000103,0.000082,0.001091
3.703951,12.651000,0.000000,-0.000000,0.000000,0.000000,-0.122267,-0.025430,-6.138413,0.000103,0.000082,0.001091
3.751297,12.646000,0.000000,-0.000000,0.000000,0.000000,-0.122267,-0.025431,-6.138432,-0.000103,-0.000082,-0.001091
3.814866,12.681000,0.000000,-0.000000,0.000000,0.000000,-0.122272,-0.025436,-6.138493,-0.000103,-0.000082,-0.001091
3.851363,12.673000,0.000000,-0.000000,0.000000,0.000000,-0.122269,-0.025433,-6.138503,0.000103,0.000082,0.001091
3.901537,12.664000,0.000000,-0.000000,0.000000,0.000000,-0.122264,-0.025428,-6.138429,0.000103,0.000082,0.000000
3.951557,12.668000,0.000000,-0.000000,0.000000,0.000000,-0.122264,-0.025428,-6.138429,0.000000,0.000000,0.000000
4.001383,12.686000,0.000000,-0.000000,0.000000,0.000000,-0.122264,-0.025428,-6.138431,0.000000,0.000000,0.000000
4.051314,12.681000,0.000000,-0.000000,0.000000,0.000000,-0.122264,-0.025428,-6.138430,0.000000,0.000000,-0.001091
4.120099,12.668000,0.000000,-0.000000,0.000000,-0.000000,-0.122269,-0.025433,-6.138484,-0.000103,-0.000082,-0.001091
4.151284,12.677000,0.000000,-0.000000,0.000000,0.000000,-0.122261,-0.025424,-6.138313,0.000310,0.000246,0.003272
4.210580,12.589000,-0.107236,0.107236,-0.107236,0.107236,-0.122252,-0.025415,-6.138340,0.000000,0.000000,0.000000
