time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.047998,12.742000,0.000000,-0.000000,0.000000,-0.000000,-0.000272,-0.000050,-0.001102,0.000207,0.000164,0.002182
0.057034,12.742000,0.000000,-0.000000,0.000000,0.000000,-0.000264,-0.000044,-0.001023,0.000207,0.000164,0.002182
0.103530,12.734000,0.000000,-0.000000,0.000000,0.000000,-0.000271,-0.000049,-0.001159,-0.000103,-0.000082,-0.001091
0.153349,12.751000,0.000000,-0.000000,0.000000,0.000000,-0.000274,-0.000051,-0.001119,-0.000103,-0.000082,-0.001091
0.203444,12.747000,0.000000,-0.000000,0.000000,0.000000,-0.000280,-0.000057,-0.001119,-0.000103,-0.000082,0.005454
0.253366,12.751000,0.000000,-0.000000,0.000000,0.000000,-0.000252,-0.000034,-0.000854,0.000517,0.000410,0.005454
0.303548,12.738000,0.000000,-0.000000,0.000000,0.000000,-0.000258,-0.000039,-0.001163,-0.000103,-0.000082,-0.001091
0.353394,12.769000,0.000000,-0.000000,0.000000,0.000000,-0.000258,-0.000039,-0.001119,0.000000,0.000000,0.000000
0.403468,12.769000,0.000000,-0.000000,0.000000,0.000000,-0.000258,-0.000039,-0.001119,0.000000,0.000000,-0.003272
0.453317,12.769000,0.000000,-0.000000,0.000000,0.000000,-0.000275,-0.000052,-0.001119,-0.000310,-0.000246,0.004363
0.503414,12.764000,0.000000,-0.000000,0.000000,0.000000,-0.000252,-0.000034,-0.000942,0.000413,0.000328,0.004363
0.587636,12.773000,0.000000,-0.000000,0.000000,-0.000000,-0.000263,-0.000043,-0.001182,-0.000207,-0.000164,-0.002182
0.604343,12.760000,0.000000,-0.000000,0.000000,0.000000,-0.000269,-0.000048,-0.001119,-0.000207,-0.000164,-0.002182
0.653400,12.769000,0.000000,-0.000000,0.000000,0.000000,-0.000281,-0.000057,-0.001119,-0.000207,-0.000164,0.000000
0.703847,12.769000,0.000000,-0.000000,0.000000,0.000000,-0.000281,-0.000057,-0.001119,0.000000,0.000000,0.000000
0.753373,12.777000,0.000000,-0.000000,0.000000,0.000000,-0.000281,-0.000057,-0.001119,0.000000,0.000000,0.000000
0.803516,12.760000,0.000000,-0.000000,0.000000,0.000000,-0.000287,-0.000062,-0.001136,-0.000207,-0.000164,-0.002182
0.853314,12.773000,0.000000,-0.000000,0.000000,0.000000,-0.000299,-0.000071,-0.001119,-0.000207,-0.000164,-0.001091
0.903768,12.742000,0.000000,-0.000000,0.000000,0.000000,-0.000305,-0.000076,-0.001119,-0.000103,-0.000082,-0.001091
0.953339,12.742000,0.000000,-0.000000,0.000000,0.000000,-0.000311,-0.000080,-0.001174,-0.000103,-0.000082,-0.001091
1.004242,12.742000,0.000000,-0.000000,0.000000,0.000000,-0.000305,-0.000076,-0.001095,0.000207,0.000164,0.002182
1.053377,12.756000,0.000000,-0.000000,0.000000,0.000000,-0.000294,-0.000067,-0.001104,0.000207,0.000164,0.002182
1.109063,12.747000,0.000000,-0.000000,0.000000,-0.000000,-0.000294,-0.000067,-0.001132,-0.000207,-0.000164,-0.002182
