time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.046403,12.581000,0.000000,-0.000000,0.000000,-0.000000,-0.000037,-0.000010,0.000354,-0.000103,-0.000082,-0.001091
0.065825,8.447000,-0.999508,1.000000,1.000000,-0.999508,-0.000042,-0.000013,0.000395,-0.000103,-0.000082,-0.001091
0.101952,8.259000,-0.999508,1.000000,1.000000,-0.999508,-0.000588,0.001492,0.000592,-0.018464,0.051375,0.135263
0.151903,8.783000,-0.999508,1.000000,1.000000,-0.999508,-0.002922,0.005290,0.004252,-0.086181,0.140437,0.135263
0.201963,9.268000,-0.999508,1.000000,1.000000,-0.999508,-0.010672,0.025739,0.033989,-0.093398,0.412946,0.563960
0.251914,9.482000,-0.999508,1.000000,1.000000,-0.999508,-0.019358,0.053886,0.066542,-0.148833,0.524111,0.382882
0.301765,9.731000,-0.999508,1.000000,1.000000,-0.999508,-0.024160,0.071466,0.087976,-0.126383,0.623110,0.389427
0.351971,9.924000,-0.999508,1.000000,1.000000,-0.999508,-0.033163,0.117042,0.104629,-0.081232,0.770812,0.389427
0.401963,10.085000,-0.999508,1.000000,1.000000,-0.999508,-0.045124,0.166015,0.119038,-0.110545,0.841584,0.278162
0.451942,10.195000,-0.999508,1.000000,1.000000,-0.999508,-0.050510,0.189674,0.125186,-0.088393,0.870207,0.267254
0.501920,10.295000,-0.999508,1.000000,1.000000,-0.999508,-0.061531,0.241356,0.135818,-0.079006,0.954350,0.152716
0.561858,10.308000,-0.999481,1.000000,1.000000,-0.999481,-0.075327,0.294478,0.143206,-0.127933,1.008892,0.075267
0.607880,10.453000,-0.999508,1.000000,1.000000,-0.999508,-0.083715,0.326924,0.145671,-0.112108,1.017356,0.075267
0.651997,10.418000,-0.999508,1.000000,1.000000,-0.999508,-0.097637,0.392352,0.152366,-0.048985,1.038011,0.119991
0.701916,10.562000,-0.999508,1.000000,1.000000,-0.999508,-0.109245,0.455344,0.161385,-0.024815,1.045540,0.161443
0.751904,10.649000,-0.999508,1.000000,1.000000,-0.999508,-0.120215,0.512909,0.167735,-0.018943,1.100697,0.106901
0.802004,10.566000,-0.999508,1.000000,1.000000,-0.999508,-0.125502,0.542266,0.170618,-0.011583,1.105850,0.106901
0.851977,10.579000,-0.999508,1.000000,1.000000,-0.999508,-0.137761,0.606066,0.178529,-0.012331,1.073668,0.114537
0.901969,10.531000,-0.999508,1.000000,1.000000,-0.999508,-0.148588,0.663559,0.182667,-0.003958,1.112392,0.105811
0.951931,10.654000,-0.999508,1.000000,1.000000,-0.999508,-0.160820,0.724457,0.191172,-0.020436,1.136322,0.184350
1.001889,10.645000,-0.999508,1.000000,1.000000,-0.999508,-0.173892,0.782247,0.201854,-0.023228,1.088108,0.154898
1.054846,11.646000,-0.731886,0.731907,0.731907,-0.731886,-0.181108,0.814658,0.206384,-0.019547,1.135215,0.154898
