time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.067095,12.759820,0.000000,-0.000000,0.000000,-0.000000,-0.000068,-0.000023,0.000000,-0.000301,-0.000103,-0.001091
0.080485,12.759820,0.000000,-0.000000,0.000000,-0.000000,-0.000058,-0.000020,0.000000,0.000151,0.000052,0.000000
0.114647,12.759820,0.000000,-0.000000,0.000000,-0.000000,-0.000058,-0.000020,0.000000,0.000000,-0.000000,0.001091
0.146698,12.759980,0.000000,-0.000000,0.000000,-0.000000,-0.000053,-0.000018,0.000000,0.000151,0.000052,-0.001091
0.177496,12.760060,0.000000,-0.000000,0.000000,-0.000000,-0.000048,-0.000016,0.000000,0.000151,0.000052,0.000000
0.210114,12.759700,0.000000,-0.000000,0.000000,-0.000000,-0.000048,-0.000016,0.000000,0.000000,-0.000000,0.001091
0.241058,12.759340,0.000000,-0.000000,0.000000,-0.000000,-0.000053,-0.000018,0.000000,-0.000151,-0.000052,0.000000
0.275140,12.758720,0.000000,-0.000000,0.000000,-0.000000,-0.000053,-0.000018,0.000000,0.000000,-0.000000,-0.001091
0.308445,12.757920,0.000000,-0.000000,0.000000,-0.000000,-0.000048,-0.000017,0.000000,0.000151,0.000052,0.001091
0.338052,12.757560,0.000000,-0.000000,0.000000,-0.000000,-0.000053,-0.000018,0.000000,-0.000151,-0.000052,-0.002182
0.371301,12.756840,0.000000,-0.000000,0.000000,-0.000000,-0.000044,-0.000015,0.000000,0.000301,0.000103,-0.002182
0.402419,12.756480,0.000000,-0.000000,0.000000,-0.000000,-0.000034,-0.000012,0.000000,0.000301,0.000103,0.001091
0.437838,12.755760,0.000000,-0.000000,0.000000,-0.000000,-0.000040,-0.000014,0.000000,-0.000151,-0.000052,0.001091
0.469121,12.754880,0.000000,-0.000000,0.000000,-0.000000,-0.000045,-0.000015,0.000000,-0.000151,-0.000052,0.001091
0.499837,12.754520,0.000000,-0.000000,0.000000,-0.000000,-0.000035,-0.000012,0.000000,0.000301,0.000103,0.000000
0.601410,12.752720,0.000000,-0.000000,0.000000,-0.000000,-0.000035,-0.000012,0.000000,0.000000,-0.000000,-0.001091
0.618483,12.752360,-0.750000,-0.000000,0.000000,-0.000000,-0.000041,-0.000014,0.000084,-0.000301,-0.000103,0.002182
0.672212,12.656200,-0.750000,0.750000,-0.750000,0.750000,-0.000030,-0.000010,0.000000,0.000301,0.000103,-0.001091
0.691980,12.618800,-0.750000,0.750000,-0.750000,0.750000,0.000085,0.000633,0.001210,0.002835,0.015890,0.185441
0.723064,12.583140,-0.750000,0.750000,-0.750000,0.750000,0.000206,0.002293,0.032372,0.003665,0.047611,1.060288
0.757565,12.522740,-0.750000,0.750000,-0.750000,0.750000,0.000397,0.003647,0.103504,0.007742,0.040095,2.172935
0.787856,12.478700,-0.750000,0.750000,-0.750000,0.750000,-0.000231,0.004501,0.125617,-0.015903,0.029396,2.689989
0.819271,12.459640,-0.750000,0.750000,-0.750000,0.750000,-0.001352,0.004823,0.232575,-0.033795,0.018430,2.971424
0.850331,12.426680,-0.750000,0.750000,-0.750000,0.750000,-0.002482,0.005248,0.322635,-0.030279,0.022535,3.400120
0.880390,12.411820,-0.750000,0.750000,-0.750000,0.750000,-0.003059,0.004614,0.387308,-0.025291,-0.012487,3.204861
0.910381,12.382880,-0.750000,0.750000,-0.750000,0.750000,-0.002679,0.004709,0.517038,0.012666,-0.002455,3.507021
0.942181,12.369680,-0.750000,0.750000,-0.750000,0.750000,-0.003033,0.004488,0.585189,-0.014007,0.000179,3.429573
0.978427,12.343800,-0.750000,0.750000,-0.750000,0.750000,-0.003673,0.004847,0.755746,-0.008417,0.019140,3.598651
1.011538,12.319140,-0.750000,0.750000,-0.750000,0.750000,-0.004006,0.004976,0.893915,-0.003836,0.009540,3.515748
1.042209,12.306640,-0.750000,0.750000,-0.750000,0.750000,-0.004014,0.004385,0.928755,-0.015748,-0.010971,3.584470
1.094535,12.270360,-0.750000,0.750000,-0.750000,0.750000,-0.003880,0.003152,1.101342,-0.030602,-0.025493,3.627013
1.120903,12.257860,-0.749992,0.750000,-0.750000,0.750000,-0.003129,0.002778,1.136420,-0.001308,-0.027235,3.551746
1.160173,12.232880,-0.749992,0.749992,-0.749992,0.749992,-0.003238,0.002059,1.240330,-0.020448,-0.004619,3.585561
1.171291,12.220920,-0.749992,0.749992,-0.749992,0.749992,-0.003561,0.002129,1.413946,0.000439,0.010706,3.587743
1.200910,12.208860,-0.749992,0.749992,-0.749992,0.749992,-0.003309,0.001934,1.483031,-0.005283,-0.008467,3.673919
1.234727,12.185280,-0.749992,0.749992,-0.749992,0.749992,-0.002228,0.001100,1.657203,-0.023889,-0.032673,3.727369
1.268433,12.162380,-0.749992,0.749992,-0.749992,0.749992,-0.001194,-0.000086,1.693358,-0.043615,-0.028219,3.451389
