time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.031413,12.734000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.052355,12.738000,0.000000,-0.000000,0.000000,-0.000000,0.000010,0.000008,0.000047,0.000310,0.000246,0.003272
0.102506,12.747000,0.000000,-0.000000,0.000000,-0.000000,0.000019,0.000015,0.000000,0.000000,0.000000,0.000000
0.152422,12.769000,0.000000,-0.000000,0.000000,-0.000000,0.000013,0.000010,-0.000009,-0.000207,-0.000164,-0.002182
0.202591,12.773000,0.000000,-0.000000,0.000000,-0.000000,0.000007,0.000005,-0.000076,-0.000207,-0.000164,-0.002182
0.252617,12.777000,0.000000,-0.000000,0.000000,-0.000000,-0.000009,-0.000007,-0.000090,-0.000310,-0.000246,-0.003272
0.302605,12.773000,0.000000,-0.000000,0.000000,-0.000000,-0.000019,-0.000015,0.000000,-0.000310,-0.000246,0.000000
0.352515,12.773000,0.000000,-0.000000,0.000000,-0.000000,-0.000019,-0.000015,0.000000,0.000000,0.000000,0.002182
0.402764,12.777000,0.000000,-0.000000,0.000000,-0.000000,-0.000006,-0.000005,0.000099,0.000207,0.000164,0.002182
0.452443,12.769000,0.000000,-0.000000,0.000000,-0.000000,0.000011,0.000009,0.000015,0.000517,0.000410,0.005454
0.502529,12.777000,0.000000,-0.000000,0.000000,-0.000000,0.000043,0.000034,0.000000,0.000517,0.000410,0.001091
0.580767,12.773000,0.000000,-0.000000,0.000000,-0.000000,0.000049,0.000039,0.000062,0.000103,0.000082,0.001091
0.602603,12.777000,0.000000,-0.000000,0.000000,-0.000000,0.000039,0.000031,-0.000057,-0.000310,-0.000246,-0.003272
0.652423,12.747000,0.000000,-0.000000,0.000000,-0.000000,0.000030,0.000023,0.000000,0.000000,0.000000,0.000000
0.702428,12.747000,0.000000,-0.000000,0.000000,-0.000000,0.000030,0.000023,0.000000,0.000000,0.000000,0.005454
