time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.017022,12.480000,0.000000,0.000000,0.000000,0.000000,0.785035,0.199956,-1.570907,0.000207,0.000164,0.002182
0.067991,12.480000,0.000000,-0.000000,0.000000,-0.000000,0.785039,0.199951,-1.570849,0.000207,0.000164,0.002182
0.080728,12.485000,0.000000,0.000000,0.000000,0.000000,0.785042,0.199948,-1.570951,0.000103,0.000082,0.001091
0.101079,12.485000,0.000000,0.000000,0.000000,0.000000,0.785044,0.199945,-1.570921,0.000103,0.000082,0.001091
0.128331,12.489000,0.000000,0.000000,0.000000,0.000000,0.785044,0.199945,-1.570975,0.000000,0.000000,0.000000
0.155274,12.476000,0.000000,0.000000,0.000000,0.000000,0.785044,0.199945,-1.570975,0.000000,0.000000,0.000000
0.184070,12.476000,0.000000,0.000000,0.000000,0.000000,0.785044,0.199945,-1.570975,0.000000,0.000000,0.000000
0.210260,12.480000,0.000000,0.000000,0.000000,0.000000,0.785044,0.199945,-1.570975,0.000000,0.000000,0.000000
0.237038,12.471000,0.000000,0.000000,0.000000,0.000000,0.785050,0.199936,-1.570969,0.000310,0.000246,0.003272
0.263110,12.476000,0.000000,0.000000,0.000000,0.000000,0.785057,0.199928,-1.570883,0.000310,0.000246,0.003272
0.290331,12.476000,0.000000,0.000000,0.000000,0.000000,0.785064,0.199920,-1.570794,0.000310,0.000246,0.003272
0.318828,12.471000,0.000000,0.000000,0.000000,0.000000,0.785068,0.199914,-1.570935,0.000207,0.000164,0.002182
0.344852,12.471000,0.000000,0.000000,0.000000,0.000000,0.785072,0.199909,-1.570879,0.000207,0.000164,0.002182
0.371582,12.471000,0.000000,0.000000,0.000000,0.000000,0.785079,0.199900,-1.570940,0.000310,0.000246,0.003272
0.399105,12.480000,0.000000,0.000000,0.000000,0.000000,0.785086,0.199892,-1.570849,0.000310,0.000246,0.003272
0.425780,12.467000,0.000000,0.000000,0.000000,0.000000,0.785084,0.199894,-1.570978,-0.000103,-0.000082,-0.001091
0.452362,12.476000,0.000000,0.000000,0.000000,0.000000,0.785081,0.199897,-1.571008,-0.000103,-0.000082,-0.001091
0.478986,12.476000,0.000000,0.000000,0.000000,0.000000,0.785079,0.199900,-1.571037,-0.000103,-0.000082,-0.001091
0.506281,12.476000,0.000000,0.000000,0.000000,0.000000,0.785084,0.199894,-1.570933,0.000207,0.000164,0.002182
0.532485,12.476000,0.000000,0.000000,0.000000,0.000000,0.785088,0.199889,-1.570876,0.000207,0.000164,0.002182
0.576014,12.476000,0.000000,0.000000,0.000000,-0.000000,0.785099,0.199875,-1.570899,0.000517,0.000410,0.005454
0.586728,12.480000,0.000000,0.000000,0.000000,-0.000000,0.785110,0.199861,-1.570752,0.000517,0.000410,0.005454
0.613081,12.471000,0.000000,0.000000,0.000000,-0.000000,0.785106,0.199866,-1.570990,-0.000207,-0.000164,-0.002182
0.644817,12.463000,-0.000818,-0.000818,-0.000818,-0.000818,0.785102,0.199872,-1.571048,-0.000207,-0.000164,-0.002182
0.666378,12.463000,-0.000818,-0.000818,-0.000818,-0.000818,0.785097,0.199877,-1.571107,-0.000207,-0.000164,-0.002182
0.695650,12.458000,-0.000818,-0.000818,-0.000818,-0.000818,0.785095,0.199880,-1.571004,-0.000103,-0.000082,-0.001091
0.724394,12.454000,-0.021493,-0.021493,-0.021493,-0.021493,0.785092,0.199883,-1.571035,-0.000103,-0.000082,-0.001091
0.752227,12.458000,-0.021493,-0.021493,-0.021493,-0.021493,0.785092,0.199883,-1.570975,0.000000,0.000000,0.000000
0.779157,12.445000,-0.076400,-0.076400,-0.076400,-0.076400,0.785092,0.199883,-1.570975,0.000000,0.000000,0.000000
0.805220,12.415000,-0.076400,-0.076400,-0.076400,-0.076400,0.785092,0.199923,-1.570975,-0.001472,0.000000,0.000000
0.831191,12.393000,-0.076400,-0.076400,-0.076400,-0.076400,0.785092,0.200095,-1.570975,-0.006624,0.000000,0.000000
0.859282,11.536000,-0.354033,-0.354033,-0.354033,-0.354033,0.785050,0.200606,-1.571093,-0.018525,-0.001556,-0.020726
0.884646,11.388000,-0.354033,-0.354033,-0.354033,-0.354033,0.785010,0.202051,-1.571631,-0.055696,-0.001556,-0.020726
0.912724,11.506000,-0.354033,-0.354033,-0.354033,-0.354033,0.784878,0.205942,-1.572206,-0.140342,-0.004868,-0.020726
0.942994,10.999000,-0.500000,-0.500000,-0.500000,-0.500000,0.784545,0.211910,-1.572742,-0.194591,-0.011166,-0.026180
0.968991,11.060000,-0.500000,-0.500000,-0.500000,-0.500000,0.784202,0.219106,-1.573422,-0.276661,-0.013742,-0.026180
0.995694,11.252000,-0.500000,-0.500000,-0.500000,-0.500000,0.783851,0.228419,-1.573940,-0.348529,-0.014192,-0.027271
1.024088,11.375000,-0.500000,-0.500000,-0.500000,-0.500000,0.783476,0.240614,-1.574713,-0.429863,-0.014560,-0.027271
1.050952,11.532000,-0.500000,-0.500000,-0.500000,-0.500000,0.783114,0.253212,-1.575446,-0.468874,-0.015296,-0.027271
1.088222,11.615000,-0.500000,-0.500000,-0.500000,-0.500000,0.782633,0.269053,-1.580031,-0.542504,-0.019967,-0.109083
1.106409,11.654000,-0.500000,-0.500000,-0.500000,-0.500000,0.782202,0.284258,-1.582891,-0.579675,-0.021807,-0.109083
