time,battery_voltage,fl,fr,bl,br,x_position,y_position,angle,x_velocity,y_velocity,angular_velocity
0.036332,12.476000,0.000000,-0.000000,0.000000,0.000000,0.000003,0.000002,0.000010,0.000103,0.000082,0.001091
0.050048,12.498000,0.000000,-0.000000,0.000000,0.000000,0.000006,0.000004,0.000039,0.000103,0.000082,0.001091
0.075384,12.498000,0.000000,-0.000000,0.000000,0.000000,-0.000005,-0.000004,-0.000015,-0.000413,-0.000328,-0.004363
0.101184,12.502000,0.000000,-0.000000,0.000000,0.000000,-0.000016,-0.000012,-0.000127,-0.000413,-0.000328,-0.004363
0.127208,12.502000,0.000000,-0.000000,0.000000,0.000000,-0.000026,-0.000021,-0.000241,-0.000413,-0.000328,-0.004363
0.153940,12.493000,0.000000,-0.000000,0.000000,0.000000,-0.000024,-0.000019,0.000018,0.000103,0.000082,0.001091
0.179955,12.498000,0.000000,-0.000000,0.000000,0.000000,-0.000021,-0.000017,0.000046,0.000103,0.000082,0.001091
0.206904,12.493000,0.000000,-0.000000,0.000000,0.000000,-0.000024,-0.000019,-0.000010,-0.000103,-0.000082,-0.001091
0.234743,12.493000,0.000000,-0.000000,0.000000,0.000000,-0.000027,-0.000021,-0.000040,-0.000103,-0.000082,-0.001091
0.262062,12.493000,0.000000,-0.000000,0.000000,0.000000,-0.000032,-0.000026,-0.000009,-0.000207,-0.000164,-0.002182
0.287905,12.498000,0.000000,-0.000000,0.000000,0.000000,-0.000038,-0.000030,-0.000065,-0.000207,-0.000164,-0.002182
0.314480,12.493000,0.000000,-0.000000,0.000000,0.000000,-0.000043,-0.000034,-0.000123,-0.000207,-0.000164,-0.002182
0.341329,12.498000,0.000000,-0.000000,0.000000,0.000000,-0.000046,-0.000036,-0.000019,-0.000103,-0.000082,-0.001091
0.367071,12.502000,0.000000,-0.000000,0.000000,0.000000,-0.000049,-0.000039,-0.000047,-0.000103,-0.000082,-0.001091
0.393542,12.498000,0.000000,-0.000000,0.000000,0.000000,-0.000060,-0.000047,-0.000047,-0.000413,-0.000328,-0.004363
0.421347,12.498000,0.000000,-0.000000,0.000000,0.000000,-0.000071,-0.000056,-0.000168,-0.000413,-0.000328,-0.004363
0.447359,12.498000,0.000000,-0.000000,0.000000,0.000000,-0.000071,-0.000056,0.000000,0.000000,0.000000,0.000000
0.472751,12.498000,0.000000,-0.000000,0.000000,0.000000,-0.000071,-0.000056,0.000000,0.000000,0.000000,0.000000
0.499785,12.493000,0.000000,-0.000000,0.000000,0.000000,-0.000071,-0.000056,0.000000,0.000000,0.000000,0.000000
0.527179,12.489000,0.000000,-0.000000,0.000000,0.000000,-0.000063,-0.000050,0.000067,0.000310,0.000246,0.003272
0.565051,12.467000,0.000000,-0.000000,0.000000,-0.000000,-0.000055,-0.000034,0.000151,0.000310,0.000614,0.003272
0.579529,12.467000,0.000000,-0.000000,0.000000,-0.000000,-0.000055,-0.000024,0.000000,0.000000,0.000368,0.000000
0.607017,12.471000,0.000000,-0.000000,0.000000,0.000000,-0.000055,-0.000024,0.000000,0.000000,0.000000,0.000000
0.632586,12.467000,0.000000,-0.000000,0.000000,0.000000,-0.000055,-0.000024,0.000000,0.000000,0.000000,0.000000
0.658311,12.471000,0.000000,-0.000000,0.000000,0.000000,-0.000055,-0.000024,0.000000,0.000000,0.000000,0.000000
0.683936,12.467000,0.000000,-0.000000,0.000000,0.000000,-0.000055,-0.000024,0.000000,0.000000,0.000000,0.000000
0.711058,12.467000,0.000000,-0.000000,0.000000,0.000000,-0.000055,-0.000024,0.000000,0.000000,0.000000,0.000000
0.736520,12.463000,0.000000,-0.000000,0.000000,0.000000,-0.000055,-0.000024,0.000000,0.000000,0.000000,0.000000
0.764325,12.463000,0.000000,-0.000000,0.000000,0.000000,-0.000057,-0.000026,-0.000013,-0.000103,-0.000082,-0.001091
0.792492,12.467000,0.000000,-0.000000,0.000000,0.000000,-0.000060,-0.000029,-0.000044,-0.000103,-0.000082,-0.001091
0.818172,12.467000,0.000000,-0.000000,0.000000,0.000000,-0.000055,-0.000024,0.000014,0.000207,0.000164,0.002182
0.844001,12.458000,0.001633,0.001633,0.001633,0.001633,-0.000050,-0.000020,0.000070,0.000207,0.000164,0.002182
0.870682,12.454000,0.001633,0.001633,0.001633,0.001633,-0.000044,-0.000016,0.000129,0.000207,0.000164,0.002182
0.905296,12.441000,0.043464,0.041083,0.041083,0.043464,-0.000033,-0.000007,0.000114,0.000413,0.000328,0.004363
0.928256,12.423000,0.043464,0.041083,0.041083,0.043464,-0.000021,0.000003,0.000244,0.000413,0.000328,0.004363
0.955255,12.432000,0.043464,0.041083,0.041083,0.043464,-0.000018,0.000005,0.000018,0.000103,0.000082,0.001091
0.982355,12.406000,0.052009,0.047721,0.047721,0.052009,-0.000015,0.000007,0.000048,0.000103,0.000082,0.001091
1.008396,12.406000,0.052009,0.047721,0.047721,0.052009,0.000048,0.000020,0.000059,0.002460,0.000491,0.006545
1.051645,12.419000,0.054679,0.050391,0.050391,0.054679,0.000277,0.000043,0.000230,0.008717,0.000859,0.006545
1.073985,12.419000,0.054679,0.050391,0.050391,0.054679,0.000644,0.000068,0.000424,0.012397,0.000859,0.006545
1.093839,12.419000,0.054679,0.050391,0.050391,0.054679,0.001052,0.000078,0.000109,0.013662,0.000328,0.004363
1.119660,12.428000,0.055274,0.055274,0.055274,0.055274,0.001358,0.000086,0.000222,0.011822,0.000328,0.004363
1.146753,12.428000,0.055274,0.055274,0.055274,0.055274,0.001611,0.000098,0.000346,0.009350,0.000410,0.005454
1.173145,12.419000,0.055274,0.055274,0.055274,0.055274,0.001809,0.000128,0.000489,0.007509,0.001146,0.005454
1.200607,12.428000,0.060962,0.060962,0.060962,0.060962,0.001854,0.000102,-0.000657,0.001658,-0.000942,-0.017453
1.227709,12.428000,0.060962,0.060962,0.060962,0.060962,0.001849,0.000066,-0.001130,-0.000182,-0.001310,-0.017453
1.264023,12.419000,0.063910,0.063910,0.063910,0.063910,0.001813,0.000030,-0.001619,-0.001286,-0.001310,-0.017453
1.285212,12.423000,0.063910,0.063910,0.063910,0.063910,0.001862,0.000051,-0.000404,0.001666,0.000737,0.009817
1.312518,12.419000,0.063910,0.063910,0.063910,0.063910,0.001927,0.000071,-0.000138,0.002402,0.000737,0.009817
1.339474,12.367000,0.093578,0.093578,0.093578,0.093578,0.001973,0.000076,-0.000638,0.001679,0.000164,0.002182
1.365225,12.362000,0.093578,0.093578,0.093578,0.093578,0.002121,0.000080,-0.000582,0.005727,0.000164,0.002182
1.391705,12.358000,0.093578,0.093578,0.093578,0.093578,0.002565,0.000093,-0.000616,0.016813,0.000491,0.006545
1.419156,11.895000,0.250606,0.250606,0.250606,0.250606,0.003199,0.000106,-0.000436,0.023070,0.000491,0.006545
1.445159,11.912000,0.250606,0.250606,0.250606,0.250606,0.004823,0.000118,-0.001345,0.062552,0.000573,0.007636
1.471024,11.641000,0.319797,0.319797,0.319797,0.319797,0.007772,0.000110,-0.001149,0.114812,-0.000163,0.007636
1.497479,11.729000,0.319797,0.319797,0.319797,0.319797,0.011526,0.000062,-0.000946,0.140942,-0.001635,0.007636
1.525090,11.785000,0.319797,0.319797,0.319797,0.319797,0.017255,-0.000078,-0.001787,0.207521,-0.004744,-0.004363
1.560714,11.707000,0.354033,0.354033,0.354033,0.354033,0.024574,-0.000185,-0.001912,0.257205,-0.003272,-0.004363
1.586150,11.742000,0.354033,0.354033,0.354033,0.354033,0.031846,-0.000272,-0.001964,0.281205,-0.002779,0.011999
1.613747,11.681000,0.404886,0.404886,0.404886,0.404886,0.040721,-0.000422,-0.001643,0.331625,-0.004988,0.011999
1.634233,11.689000,0.404886,0.404886,0.404886,0.404886,0.051796,-0.000526,-0.001189,0.394429,-0.003187,0.026180
1.660396,11.755000,0.404886,0.404886,0.404886,0.404886,0.062875,-0.000613,-0.000503,0.423135,-0.002819,0.026180
1.687573,11.750000,0.420042,0.420042,0.420042,0.420042,0.074977,-0.000776,0.000209,0.444849,-0.005763,0.026180
1.714562,11.772000,0.420042,0.420042,0.420042,0.420042,0.088310,-0.000917,-0.000077,0.494566,-0.004862,0.038179
1.743390,11.833000,0.420042,0.420042,0.420042,0.420042,0.102761,-0.001134,0.000978,0.522904,-0.007806,0.038179
1.768123,11.877000,0.420042,0.420042,0.420042,0.420042,0.116918,-0.001251,0.002167,0.545858,-0.005351,0.051269
1.794429,11.921000,0.420042,0.420042,0.420042,0.420042,0.131909,-0.001282,0.003517,0.569411,-0.002407,0.051269
1.822048,11.969000,0.427725,0.427725,0.427725,0.427725,0.147459,-0.001135,0.004924,0.562692,0.002871,0.077449
1.847866,11.986000,0.427725,0.427725,0.427725,0.427725,0.162675,-0.001043,0.006921,0.590294,0.000663,0.077449
1.882816,11.842000,0.459151,0.459151,0.459151,0.459151,0.178868,-0.001093,0.009022,0.596918,-0.005962,0.077449
1.904024,11.873000,0.459151,0.459151,0.459151,0.459151,0.196557,-0.001036,0.009797,0.611747,-0.003348,0.043633
1.929679,11.973000,0.459151,0.459151,0.459151,0.459151,0.213085,-0.000827,0.010921,0.641925,0.001804,0.043633
1.956330,11.833000,0.491691,0.491691,0.491691,0.491691,0.230624,-0.000463,0.012299,0.657109,0.005727,0.017453
1.982109,11.755000,0.491691,0.491691,0.491691,0.491691,0.247576,-0.000164,0.012748,0.658581,0.003519,0.017453
2.010337,11.781000,0.491691,0.491691,0.491691,0.491691,0.266018,0.000182,0.015333,0.653665,0.002420,0.066541
2.038358,11.877000,0.491691,0.491691,0.491691,0.491691,0.284946,0.000601,0.017184,0.680530,0.004628,0.066541
2.070840,11.916000,0.491691,0.491691,0.491691,0.491691,0.303162,0.000987,0.018909,0.702612,0.002788,0.066541
2.096517,11.908000,0.491691,0.491691,0.491691,0.491691,0.322814,0.001323,0.019713,0.731479,-0.000688,0.064359
2.116518,11.908000,0.491691,0.491691,0.491691,0.491691,0.341600,0.001714,0.021360,0.734424,0.000784,0.064359
2.151696,11.947000,0.500000,0.500000,0.500000,0.500000,0.362284,0.002290,0.022820,0.733365,0.004424,0.068722
2.172045,12.004000,0.500000,0.500000,0.500000,0.500000,0.382326,0.002758,0.024680,0.740358,0.000375,0.068722
2.197666,12.065000,0.500000,0.500000,0.500000,0.500000,0.401850,0.003122,0.027087,0.762336,-0.005963,0.067632
2.223141,11.986000,0.500000,0.500000,0.500000,0.500000,0.421815,0.003547,0.028824,0.777425,-0.004491,0.067632
2.251021,11.912000,0.500000,0.500000,0.500000,0.500000,0.442142,0.004398,0.030708,0.730317,0.009494,0.067632
2.278174,12.000000,0.500000,0.500000,0.500000,0.500000,0.461690,0.005450,0.033806,0.718156,0.016369,0.110174
